Version,"RVGL 23.1030a1","P2P","Client"
Session,"08/01/26 23:40:32","Coordinator","Arcade",4,"true"
Results,"Galaxy World 2",20
#,Player,Car,Time,BestLap,Finished,Cheating
16,"GUARANA","P4 Super","03:08:803","00:59:195","true","false"
17,"SQ","BLK","03:10:563","00:57:721","true","false"
18,"[HTZK]N3BULAR","Orbitron","03:16:045","01:00:080","true","false"
19,"SUPERDALMATAXD","Raven","03:19:959","01:03:842","true","false"
20,"GRMBLI","Commandine","03:22:261","01:02:482","true","false"
21,"FIREN","Golden Eye","03:26:514","01:05:377","true","false"
22,"TACO","AMW","03:27:595","01:02:889","true","false"
23,"MINICOPPER","Orion","03:27:748","01:05:187","true","false"
Results,"Elementary 2",23
#,Player,Car,Time,BestLap,Finished,Cheating
01,"GANESH","Endo","02:37:784","00:23:251","true","false"
02,"VALI2WD","Stinger","02:42:273","00:23:768","true","false"
03,"OLD TURTLE","P4 Super","02:43:748","00:24:541","true","false"
04,"JIBANYAN","Selsia Turbo","02:45:059","00:25:684","true","false"
05,"GRMBLI","Commandine","02:47:512","00:25:415","true","false"
06,"FLYBOY","Stinger","02:50:127","00:24:644","true","false"
07,"BONCZY","Megalodon XL","02:55:420","00:24:006","true","false"
08,"MARIS EDVAN","Alter","02:56:017","00:23:529","true","false"
09,"SUPERDALMATAXD","Raven","02:57:078","00:24:743","true","false"
10,"^4BLUEWAVE","P4 Super","02:58:703","00:24:287","true","false"
11,"RADIANCER","Starmac","02:58:809","00:26:224","true","false"
12,"ZON","Prototype FX77","03:00:704","00:25:230","true","false"
13,"AHMA","Napalm","03:03:494","00:26:041","true","false"
14,"JJ","Stinger","03:04:496","00:26:932","true","false"
15,"TOOL","Cambold R","03:04:985","00:27:151","true","false"
16,"FIREN","Calcure","03:05:633","00:26:711","true","false"
17,"GUARANA","P4 Super","03:06:582","00:28:655","true","false"
18,"REVOLKEN","P4 Super","03:06:970","00:26:644","true","false"
19,"SQ","BLK","03:11:416","00:26:148","true","false"
20,"TACO","AMW","03:13:551","00:27:793","true","false"
21,"MINICOPPER","Orion","03:17:236","00:27:965","true","false"
22,"SSANGYONG","Gungnir","03:22:319","00:27:199","true","false"
Results,"Toytanic 2 R",22
#,Player,Car,Time,BestLap,Finished,Cheating
01,"RADIANCER","Starmac","03:03:549","00:44:504","true","false"
02,"BONCZY","Megalodon XL","03:09:007","00:45:670","true","false"
03,"AHMA","Napalm","03:13:963","00:45:959","true","false"
04,"GANESH","Endo","03:15:342","00:44:964","true","false"
05,"VALI2WD","Stinger","03:18:155","00:46:748","true","false"
06,"OLD TURTLE","P4 Super","03:20:325","00:46:330","true","false"
07,"JIBANYAN","Selsia Turbo","03:24:158","00:49:669","true","false"
08,"ZON","Prototype FX77","03:26:316","00:48:953","true","false"
09,"^4BLUEWAVE","P4 Super","03:26:335","00:45:284","true","false"
10,"TOOL","Cambold R","03:30:121","00:46:984","true","false"
11,"MARIS EDVAN","Alter","03:33:445","00:50:490","true","false"
12,"GUARANA","P4 Super","03:35:879","00:49:996","true","false"
13,"SUPERDALMATAXD","Raven","03:37:723","00:49:794","true","false"
14,"REVOLKEN","P4 Super","03:37:777","00:52:595","true","false"
15,"SQ","BLK","03:38:115","00:50:954","true","false"
16,"JJ","Stinger","03:39:675","00:51:421","true","false"
17,"FLYBOY","Stinger","03:44:492","00:50:781","true","false"
18,"FIREN","Calcure","03:46:729","00:53:794","true","false"
19,"GRMBLI","Commandine","03:46:876","00:53:984","true","false"
20,"TACO","AMW","03:48:148","00:51:090","true","false"
21,"SSANGYONG","Gungnir","03:50:222","00:50:976","true","false"
22,"MINICOPPER","Orion","04:11:748","00:56:949","true","false"
Results,"PetroVolt",23
#,Player,Car,Time,BestLap,Finished,Cheating
01,"GANESH","Endo","03:07:156","01:00:714","true","false"
02,"RADIANCER","Starmac","03:15:430","01:02:504","true","false"
03,"ZON","Prototype FX77","03:18:484","01:01:168","true","false"
04,"BONCZY","Megalodon XL","03:18:607","01:00:994","true","false"
05,"AHMA","Napalm","03:27:602","01:03:753","true","false"
06,"^4BLUEWAVE","P4 Super","03:28:406","01:05:136","true","false"
07,"FLYBOY","Stinger","03:31:253","01:06:001","true","false"
08,"JIBANYAN","Selsia Turbo","03:32:153","01:02:627","true","false"
09,"JJ","Stinger","03:36:187","01:10:427","true","false"
10,"TOOL","Cambold R","03:37:264","01:06:293","true","false"
11,"REVOLKEN","P4 Super","03:39:015","01:10:354","true","false"
12,"VALI2WD","Stinger","03:39:211","01:10:024","true","false"
13,"GRMBLI","Commandine","03:39:828","01:12:351","true","false"
14,"RS L0WK3Y[Z3TA]","Sideswipe","03:41:786","01:08:763","true","false"
15,"SUPERDALMATAXD","Raven","03:41:986","01:07:590","true","false"
16,"OLD TURTLE","P4 Super","03:44:579","01:08:141","true","false"
17,"SQ","BLK","03:45:555","01:11:085","true","false"
18,"MARIS EDVAN","Alter","03:47:040","01:11:337","true","false"
19,"GUARANA","P4 Super","03:59:804","01:15:168","true","false"
20,"FIREN","Calcure","04:03:496","01:16:478","true","false"
21,"SSANGYONG","Gungnir","04:10:657","01:15:520","true","false"
22,"TACO","AMW","04:15:171","01:16:327","true","false"
23,"MINICOPPER","Orion","04:46:123","01:30:531","false","false"
Results,"Game Room 2 R",23
#,Player,Car,Time,BestLap,Finished,Cheating
01,"RADIANCER","Starmac","02:47:053","00:39:052","true","false"
02,"JIBANYAN","Selsia Turbo","02:48:594","00:40:601","true","false"
03,"FLYBOY","Stinger","02:59:802","00:42:003","true","false"
04,"SQ","Sylea","02:59:877","00:40:109","true","false"
05,"GANESH","Endo","03:00:553","00:42:313","true","false"
06,"MARIS EDVAN","Skarlet","03:01:016","00:41:433","true","false"
07,"ZON","Prototype FX77","03:04:962","00:41:465","true","false"
08,"VALI2WD","Stinger","03:07:561","00:43:981","true","false"
09,"GRMBLI","Commandine","03:08:015","00:44:927","true","false"
10,"BONCZY","Megalodon XL","03:08:057","00:42:350","true","false"
11,"TOOL","Cambold R","03:09:498","00:40:714","true","false"
12,"AHMA","Napalm","03:10:701","00:43:085","true","false"
13,"RS L0WK3Y[Z3TA]","FD-400","03:11:288","00:40:064","true","false"
14,"SUPERDALMATAXD","Raven","03:16:435","00:44:657","true","false"
15,"JJ","Stinger","03:20:271","00:42:875","true","false"
16,"OLD TURTLE","P4 Super","03:21:224","00:44:999","true","false"
17,"TACO","AMW","03:21:610","00:43:008","true","false"
18,"^4BLUEWAVE","P4 Super","03:24:083","00:47:081","true","false"
19,"REVOLKEN","P4 Super","03:24:088","00:46:961","true","false"
20,"GUARANA","P4 Super","03:27:224","00:46:887","true","false"
21,"FIREN","Calcure","03:33:321","00:50:936","true","false"
22,"SSANGYONG","Gungnir","03:34:900","00:50:194","true","false"
Results,"Fairground 1",22
#,Player,Car,Time,BestLap,Finished,Cheating
01,"VALI2WD","Stinger","02:35:369","00:23:923","true","false"
02,"RADIANCER","Starmac","02:37:912","00:23:624","true","false"
03,"MARIS EDVAN","Skarlet","02:43:160","00:23:121","true","false"
04,"GANESH","Endo","02:46:360","00:24:729","true","false"
05,"JJ","Stinger","02:52:722","00:25:656","true","false"
06,"SQ","Sylea","02:53:251","00:23:779","true","false"
07,"BONCZY","Megalodon XL","02:54:327","00:24:258","true","false"
08,"TOOL","Cambold R","02:56:158","00:24:267","true","false"
09,"GRMBLI","Commandine","02:57:381","00:25:398","true","false"
10,"OLD TURTLE","P4 Super","02:58:937","00:24:670","true","false"
11,"JIBANYAN","Selsia Turbo","02:59:308","00:26:159","true","false"
12,"REVOLKEN","P4 Super","02:59:632","00:25:187","true","false"
13,"AHMA","Napalm","03:01:738","00:28:545","true","false"
14,"SUPERDALMATAXD","Raven","03:01:837","00:25:392","true","false"
15,"^4BLUEWAVE","P4 Super","03:02:350","00:24:344","true","false"
16,"ZON","Prototype FX77","03:02:944","00:26:159","true","false"
17,"RS L0WK3Y[Z3TA]","Hetgarde GT1","03:05:145","00:27:414","true","false"
18,"GUARANA","P4 Super","03:05:719","00:28:317","true","false"
19,"FLYBOY","Stinger","03:07:002","00:24:728","true","false"
20,"SSANGYONG","Gungnir","03:07:780","00:27:131","true","false"
21,"TACO","AMW","03:09:318","00:27:216","true","false"
22,"FIREN","Elyta","03:26:970","00:30:119","true","false"
Results,"Museum 3 R",23
#,Player,Car,Time,BestLap,Finished,Cheating
01,"VALI2WD","Stinger","02:51:635","00:41:923","true","false"
02,"GANESH","Endo","03:03:360","00:43:346","true","false"
03,"JIBANYAN","Selsia Turbo","03:09:250","00:45:338","true","false"
04,"BONCZY","Megalodon XL","03:11:416","00:43:450","true","false"
05,"RADIANCER","Starmac","03:12:403","00:44:841","true","false"
06,"SQ","Sylea","03:15:954","00:42:899","true","false"
07,"TOOL","Cambold R","03:16:691","00:45:213","true","false"
08,"RS L0WK3Y[Z3TA]","Tesseract","03:19:350","00:44:150","true","false"
09,"FLYBOY","Stinger","03:21:948","00:48:301","true","false"
10,"AHMA","Napalm","03:22:826","00:45:581","true","false"
11,"REVOLKEN","P4 Super","03:25:768","00:46:543","true","false"
12,"MARIS EDVAN","Skarlet","03:28:566","00:45:635","true","false"
13,"^4BLUEWAVE","P4 Super","03:28:616","00:46:265","true","false"
14,"GRMBLI","Commandine","03:28:928","00:46:209","true","false"
15,"GUARANA","P4 Super","03:29:453","00:49:980","true","false"
16,"OLD TURTLE","P4 Super","03:29:484","00:46:881","true","false"
17,"ZON","Prototype FX77","03:36:619","00:49:894","true","false"
18,"JJ","Stinger","03:37:095","00:49:489","true","false"
19,"TACO","AMW","03:40:283","00:49:614","true","false"
20,"SSANGYONG","Gungnir","03:45:734","00:50:749","true","false"
21,"SUPERDALMATAXD","Raven","03:47:754","00:47:662","true","false"
22,"NIC","Toyeca","03:51:955","00:52:977","true","false"
23,"FIREN","Elyta","04:03:665","00:57:049","true","false"
Results,"Images Of Giza: Redux",23
#,Player,Car,Time,BestLap,Finished,Cheating
01,"^4BLUEWAVE","P4 Super","02:55:809","00:27:484","true","false"
02,"FLYBOY","Stinger","02:59:362","00:26:893","true","false"
03,"GANESH","Endo","03:02:492","00:27:321","true","false"
04,"VALI2WD","Stinger","03:06:127","00:28:748","true","false"
05,"RS L0WK3Y[Z3TA]","Quicksilver","03:06:841","00:28:215","true","false"
06,"OLD TURTLE","P4 Super","03:08:366","00:27:197","true","false"
07,"SQ","Sylea","03:10:131","00:28:218","true","false"
08,"ZON","Prototype FX77","03:11:229","00:27:758","true","false"
09,"NIC","Toyeca","03:11:416","00:30:150","true","false"
10,"RADIANCER","Starmac","03:13:018","00:29:460","true","false"
11,"BONCZY","Megalodon XL","03:17:057","00:29:111","true","false"
12,"GRMBLI","Commandine","03:17:980","00:26:871","true","false"
13,"MARIS EDVAN","Skarlet","03:18:594","00:27:357","true","false"
14,"JIBANYAN","Selsia Turbo","03:19:814","00:27:878","true","false"
15,"GUARANA","P4 Super","03:21:294","00:30:330","true","false"
16,"JJ","Stinger","03:22:683","00:31:994","true","false"
17,"SUPERDALMATAXD","Raven","03:23:830","00:30:080","true","false"
18,"TOOL","Cambold R","03:24:825","00:30:495","true","false"
19,"REVOLKEN","P4 Super","03:25:245","00:29:497","true","false"
20,"TACO","AMW","03:28:554","00:30:381","true","false"
21,"AHMA","Napalm","03:33:489","00:29:905","true","false"
22,"SSANGYONG","Gungnir","03:42:484","00:33:622","true","false"
23,"FIREN","Exclaim GT Mk.2","04:21:559","00:33:984","true","true"
Results,"School's Out! 1",23
#,Player,Car,Time,BestLap,Finished,Cheating
01,"GANESH","Endo","02:41:360","00:29:373","true","false"
02,"VALI2WD","Stinger","02:46:570","00:30:108","true","false"
03,"BONCZY","Megalodon XL","02:56:636","00:28:864","true","false"
04,"JJ","Stinger","02:58:789","00:33:240","true","false"
05,"RS L0WK3Y[Z3TA]","Selsia Turbo","03:04:308","00:30:421","true","false"
06,"OLD TURTLE","P4 Super","03:05:594","00:33:425","true","false"
07,"FLYBOY","Stinger","03:05:878","00:32:753","true","false"
08,"^4BLUEWAVE","P4 Super","03:06:954","00:34:520","true","false"
09,"JIBANYAN","Selsia Turbo","03:07:037","00:32:410","true","false"
10,"AHMA","Napalm","03:07:140","00:34:109","true","false"
11,"RADIANCER","Starmac","03:09:066","00:31:811","true","false"
12,"SQ","Sylea","03:09:254","00:31:690","true","false"
13,"GUARANA","P4 Super","03:09:535","00:30:541","true","false"
14,"NIC","Toyeca","03:13:083","00:31:904","true","false"
15,"MARIS EDVAN","Skarlet","03:17:657","00:32:476","true","false"
16,"ZON","Prototype FX77","03:17:678","00:32:413","true","false"
17,"SUPERDALMATAXD","Raven","03:17:984","00:34:781","true","false"
18,"TOOL","Cambold R","03:19:205","00:33:124","true","false"
19,"REVOLKEN","P4 Super","03:20:460","00:31:206","true","false"
20,"GRMBLI","Commandine","03:21:844","00:34:254","true","false"
21,"TACO","AMW","03:23:485","00:32:760","true","false"
22,"SSANGYONG","Gungnir","03:24:790","00:35:170","true","false"
23,"FIREN","Exclaim GT Mk.2","05:32:877","00:39:371","false","false"
Results,"ToySoldierz",23
#,Player,Car,Time,BestLap,Finished,Cheating
01,"JIBANYAN","Selsia Turbo","02:48:370","00:37:652","true","false"
02,"GANESH","Endo","02:50:438","00:39:137","true","false"
03,"VALI2WD","Stinger","02:57:499","00:41:697","true","false"
04,"MARIS EDVAN","Skarlet","02:57:782","00:38:232","true","false"
05,"REVOLKEN","P4 Super","02:59:514","00:43:445","true","false"
06,"BONCZY","Megalodon XL","03:02:063","00:40:222","true","false"
07,"SUPERDALMATAXD","Raven","03:03:634","00:41:410","true","false"
08,"TOOL","Cambold R","03:03:704","00:39:079","true","false"
09,"JJ","Stinger","03:04:222","00:41:341","true","false"
10,"RADIANCER","Starmac","03:04:303","00:36:504","true","false"
11,"GUARANA","P4 Super","03:04:861","00:40:728","true","false"
12,"FLYBOY","Stinger","03:06:968","00:39:014","true","false"
13,"SQ","Sylea","03:07:220","00:43:295","true","false"
14,"^4BLUEWAVE","P4 Super","03:08:881","00:40:010","true","false"
15,"OLD TURTLE","P4 Super","03:10:655","00:44:778","true","false"
16,"AHMA","Napalm","03:13:467","00:41:517","true","false"
17,"TACO","AMW","03:14:230","00:41:814","true","false"
18,"RS L0WK3Y[Z3TA]","King Kaiju","03:16:324","00:44:166","true","false"
19,"ZON","Calcure","03:22:775","00:45:898","true","false"
20,"GRMBLI","Commandine","03:22:858","00:41:217","true","false"
21,"NIC","Toyeca","03:28:842","00:49:958","true","false"
22,"FIREN","Exclaim GT Mk.2","03:30:445","00:46:860","true","false"
23,"SSANGYONG","Gungnir","03:40:571","00:54:081","true","false"
Results,"s4",23
#,Player,Car,Time,BestLap,Finished,Cheating
01,"SQ","Sylea","02:52:796","00:27:102","true","false"
02,"VALI2WD","Stinger","02:54:621","00:26:333","true","false"
03,"BONCZY","Megalodon XL","02:55:106","00:23:991","true","false"
04,"RADIANCER","Starmac","02:57:057","00:25:151","true","false"
05,"GANESH","Endo","02:58:219","00:27:195","true","false"
06,"AHMA","Napalm","03:01:307","00:26:713","true","false"
07,"JIBANYAN","Selsia Turbo","03:04:255","00:26:769","true","false"
08,"MARIS EDVAN","Skarlet","03:04:260","00:27:804","true","false"
09,"OLD TURTLE","P4 Super","03:05:683","00:26:811","true","false"
10,"TOOL","Cambold R","03:06:731","00:28:149","true","false"
11,"RS L0WK3Y[Z3TA]","Dragheat","03:09:882","00:26:898","true","false"
12,"JJ","Stinger","03:11:748","00:26:873","true","false"
13,"SUPERDALMATAXD","Raven","03:12:160","00:27:326","true","false"
14,"REVOLKEN","P4 Super","03:12:431","00:26:310","true","false"
15,"ZON","Prototype FX77","03:12:698","00:25:495","true","false"
16,"NIC","Toyeca","03:14:862","00:29:344","true","false"
17,"FLYBOY","Stinger","03:15:362","00:30:465","true","false"
18,"^4BLUEWAVE","P4 Super","03:18:656","00:28:802","true","false"
19,"GUARANA","P4 Super","03:22:711","00:28:231","true","false"
20,"TACO","AMW","03:35:408","00:28:331","true","false"
21,"SSANGYONG","Gungnir","03:40:689","00:32:101","true","false"
22,"FIREN","Toyeca","03:41:041","00:29:807","true","false"
